Name, Honest Client Num, Client Time, Server Time(Amt.), Comm. Cost(KB)
AML Groth16, 32, 2.5378863s, 1.389281ms, 4.078125
AML Plonk, 32, 10.358873037s, 2.835271ms, 4.45703125
AML Groth16, 64, 2.519817616s, 1.407914ms, 3.265625
AML Plonk, 64, 10.2271363s, 3.028095ms, 3.64453125
AML Groth16, 128, 2.518586087s, 1.477175ms, 2.765625
AML Plonk, 128, 10.499327093s, 2.704825ms, 3.14453125
AML Groth16, 256, 2.536405188s, 1.517017ms, 2.421875
AML Plonk, 256, 10.459253524s, 2.826602ms, 2.80078125
AML Groth16, 512, 2.525518313s, 1.405415ms, 2.140625
AML Plonk, 512, 10.510906981s, 3.29161ms, 2.51953125
AML Groth16, 1024, 2.460041679s, 2.073284ms, 1.953125
AML Plonk, 1024, 10.333013392s, 3.765255ms, 2.33203125
AML Groth16, 2048, 2.545523145s, 1.609337ms, 1.796875
AML Plonk, 2048, 10.472808706s, 3.502291ms, 2.17578125
AML Groth16, 4096, 2.605804467s, 2.613917ms, 1.671875
AML Plonk, 4096, 10.470918526s, 5.230849ms, 2.05078125
AML Groth16, 8192, 2.622062367s, 3.094433ms, 1.546875
AML Plonk, 8192, 10.463097763s, 5.345034ms, 1.92578125
AML Groth16, 10, 2.473526759s, 2.094523ms, 7.328125
AML Groth16, 500, 2.465868908s, 1.692576ms, 2.171875
AML Groth16, 500, 2.424723001s, 2.433246ms, 2.171875
AML Groth16, 500, 2.494985094s, 1.686743ms, 2.171875
